"question","answer"
"What is time complexity?","Time complexity is a computational concept that measures the amount of time an algorithm takes to run as a function of the length of the input. It expresses how the runtime of an algorithm grows as the input size increases."
"What does Big O notation represent?","Big O notation describes the upper bound or worst-case scenario of an algorithm's time complexity. It helps us understand how the runtime of an algorithm scales with input size by focusing on the dominant terms and ignoring constants and less significant terms."
"What is O(1) time complexity?","O(1) represents constant time complexity. It means the algorithm takes the same amount of time regardless of the input size. Examples include accessing an array element by index or checking if a stack is empty."
"What is O(log n) time complexity?","O(log n) represents logarithmic time complexity. It means the time increases logarithmically as input size grows. Common examples include binary search and operations on balanced binary search trees."
"What is O(n) time complexity?","O(n) represents linear time complexity. The runtime grows linearly with input size. Examples include traversing an array or linked list or finding the maximum value in an unsorted array."
"What is O(n log n) time complexity?","O(n log n) represents linearithmic time complexity. Common examples include efficient sorting algorithms like merge sort, heap sort, and quicksort (average case)."
"What is O(n²) time complexity?","O(n²) represents quadratic time complexity. The runtime grows proportional to the square of the input size. Examples include nested loops, bubble sort, insertion sort, and selection sort."
"What is O(2^n) time complexity?","O(2^n) represents exponential time complexity. The runtime doubles with each additional element in the input. Examples include recursive algorithms for the Fibonacci sequence or the Tower of Hanoi puzzle."
"What is O(n!) time complexity?","O(n!) represents factorial time complexity. The runtime grows with the factorial of the input size. Examples include generating all permutations of a list or the brute force solution to the traveling salesman problem."
"What is the time complexity of binary search?","Binary search has O(log n) time complexity because it halves the search space with each comparison, allowing it to find an element in a sorted array very efficiently."
"What is the time complexity of linear search?","Linear search has O(n) time complexity because in the worst case, it needs to check every element in the array or list to find the target element."
"What is the time complexity of bubble sort?","Bubble sort has O(n²) time complexity because it uses nested loops to compare and swap adjacent elements until the array is sorted."
"What is the time complexity of merge sort?","Merge sort has O(n log n) time complexity in all cases (best, average, worst) because it divides the array into halves recursively and then merges them in linear time."
"What is the time complexity of quicksort?","Quicksort has O(n log n) average time complexity, but O(n²) worst-case complexity when the pivot selection is poor. It works by selecting a pivot and partitioning elements around it."
"What is the time complexity of insertion sort?","Insertion sort has O(n²) worst and average case time complexity, but O(n) best case when the array is already sorted or nearly sorted."
"What is the time complexity of accessing an element in an array?","Accessing an element in an array by index has O(1) constant time complexity because it uses direct memory addressing."
"What is the time complexity of searching in a hash table?","Searching in a hash table has O(1) average case time complexity, but O(n) worst case when there are many collisions."
"What is the time complexity of breadth-first search (BFS)?","BFS has O(V + E) time complexity where V is the number of vertices and E is the number of edges in the graph."
"What is the time complexity of depth-first search (DFS)?","DFS has O(V + E) time complexity where V is the number of vertices and E is the number of edges in the graph."
"What is the time complexity of Dijkstra's algorithm?","Dijkstra's algorithm has O((V + E) log V) time complexity with a binary heap implementation, where V is the number of vertices and E is the number of edges."
"What factors affect time complexity?","Time complexity is affected by factors like input size, algorithm design, hardware limitations, implementation details, and the specific operations being performed."
"What is the difference between best case, average case, and worst case time complexity?","Best case describes the minimum time required for an algorithm on optimal input. Average case describes the expected time across all possible inputs. Worst case describes the maximum time on the most challenging input."
"What is space complexity?","Space complexity measures the amount of memory an algorithm uses relative to the input size. Like time complexity, it's often expressed using Big O notation."
"How do you analyze the time complexity of a recursive algorithm?","Recursive algorithm time complexity is often analyzed using recurrence relations that describe how the problem is divided and conquered, typically solved using methods like the Master Theorem."
"What is amortized time complexity?","Amortized time complexity analyzes the average performance of operations over a sequence of operations, even if some individual operations might be costly. It's useful for data structures like dynamic arrays."
"Can an algorithm have different time complexities for different operations?","Yes, data structures often have different time complexities for different operations. For example, an array has O(1) for access but O(n) for insertion at the beginning."
"What is the time complexity of binary tree traversal?","Binary tree traversal (inorder, preorder, postorder) has O(n) time complexity where n is the number of nodes because each node is visited exactly once."
